formula,log_conductivity,chgnet_energy,chgnet_mag
Li3BP2O8,-11.017728766960431,-7.000645160675049,0.01491094846278429
Li2NaBP2O8,-17.356547323513812,-6.957204341888428,0.013253452256321907
Li4P2O7,-15.0,-6.6073713302612305,0.013286267407238483
Li6CuB4O10,-13.0,-6.783665180206299,0.03395407646894455
Li7P3S11,-2.494850021680094,-4.531750202178955,0.009482400491833687
Li3BiO3,-9.619788758288394,-5.359681606292725,0.007831035181879997
Li5BiO5,-8.4089353929735,-5.2967939376831055,0.008827481418848038
Li4SiS4,-7.798602875679548,-4.163056373596191,0.05914480611681938
Li5AlS4,-8.853871964321762,-4.4679412841796875,0.0075280009768903255
Li2P2S6,-10.10790539730952,-4.819990158081055,0.00405313353985548
Li6Ge2O7,-6.070581074285707,-5.80173397064209,0.016323477029800415
LiAlCl4,-6.0,-4.118879318237305,0.01062578335404396
LiYO2,-7.744727494896693,-7.7727251052856445,0.003109385259449482
LiGaBr4,-5.154901959985743,-3.225813627243042,0.01132949534803629
LiBO2,-8.0,-7.230134963989258,0.004134833812713623
LiClC3H7NO,-3.795880017344075,-5.360128879547119,0.013839324936270714
LaLiO2,-15.0,-7.304509162902832,0.0034402618184685707
LiSbO2,-15.0,-5.884718418121338,0.006669153459370136
Li2Sr2Al(PO4)3,-15.0,-7.426342487335205,0.012778684496879578
Li4Zn(PO4)2,-17.255707016877324,-6.579398155212402,0.0076765757985413074
Li3BN2,-7.060480747381382,-5.754326820373535,0.007423195522278547
LiAlH4,-8.060480747381382,-3.417426347732544,0.016201384365558624
LiVO3,-8.688246138944246,-7.304421424865723,0.03269436955451965
Li6Zr2O7,-9.2839966563652,-6.860701560974121,0.014325396157801151
Li3AlF6,-6.301029995663981,-5.389373779296875,0.014279957860708237
Li2ZrO3,-9.214670164989233,-7.532645225524902,0.0044908649288117886
Li2CrCl4,-15.0,-4.669912815093994,0.5567817091941833
Li2SnS3,-4.823908740944319,-4.47819185256958,0.007879962213337421
Li2BaP2O7,-16.796203144042632,-6.479428291320801,0.024319728836417198
Li3Na5(TiS4)2,-5.055517327849832,-4.804854869842529,0.014480618759989738
LiGd(PO3)4,-15.0,-6.9838690757751465,0.4090988039970398
Li3SbS4,-8.318758762624412,-4.341141223907471,0.008312186226248741
Li3VO4,-13.036212172654444,-6.748158931732178,0.022220429033041
LiGaO2,-13.619788758288394,-5.989887237548828,0.0055964551866054535
LiB6O9F,-15.0,-7.650175094604492,0.014818631112575531
Li3SbS3,-9.0,-4.319314002990723,0.007440687622874975
Li6SiO4Cl2,-10.0,-5.613326072692871,0.01024674903601408
LiSi2N3,-7.209714835966758,-7.340376377105713,0.023603180423378944
Li2(PO2N),-15.0,-6.636412620544434,0.012489013373851776
Li2SiS3,-5.698970004336019,-3.864086627960205,0.013944285921752453
Li5AlO4,-9.30102999566398,-5.66933012008667,0.011230709962546825
Li5GaO4,-8.301029995663981,-5.264284610748291,0.0070670186541974545
Li3PO4,-17.3767507096021,-6.499120235443115,0.00811278447508812
Li4SnSe4,-4.698970004336019,-3.987079381942749,0.008794810622930527
Li3PO4,-12.756961951313706,-6.539336204528809,0.006727122701704502
Li4GeO4,-11.886056647693165,-5.848982810974121,0.003566731931641698
LiBiO2,-7.42021640338319,-5.30581521987915,0.01048559695482254
LiZnPS4,-7.267606240177032,-4.490846157073975,0.011848077178001404
Li3BN2,-9.795880017344077,-5.80939245223999,0.0050599961541593075
Li(LaTiO4),-15.0,-8.001925468444824,0.017298055812716484
Li(NdTiO4),-15.0,-8.2728910446167,0.011244130320847034
Li3BiO4,-9.387216143280265,-5.460442543029785,0.06783825159072876
LiScO2,-15.0,-7.8362650871276855,0.0028959540650248528
Li7La3Hf2O12,-6.006563769502388,-7.403316497802734,0.00842419546097517
Li7La3Zr2O12,-5.787812395596042,-7.44412088394165,0.0058459932915866375
LiAlGeO4,-15.0,-6.191707611083984,0.015237980522215366
Li3AlH6,-6.853871964321762,-3.317542791366577,0.012416845187544823
Li4P2S6,-6.623423042943488,-4.687742233276367,0.008741707541048527
LiZr2(PO4)3,-9.0,-7.851869583129883,0.02710575982928276
LiGe2(PO4)3,-6.47755576649368,-6.276148796081543,0.01962418667972088
LiGe2(PO4)3,-8.316052869248487,-6.687245845794678,0.021221229806542397
LiTi2(PO4)3,-4.142667503568732,-7.959122180938721,0.021424690261483192
Li9Mg3(PO4)4F3,-15.0,-6.598633289337158,0.012615526095032692
Li3N,-3.2390500485891027,-3.9456117153167725,0.011136189103126526
Li3P,-3.153044674980176,-3.3935959339141846,0.00830886885523796
Li3N,-3.680893940690224,-3.9406230449676514,0.0065035149455070496
Li8GeP4,-4.7447274948966935,-3.5711185932159424,0.006646024063229561
Li3AlN2,-7.301029995663981,-5.183027267456055,0.013766239397227764
Li6PO5Cl,-9.0,-5.781141757965088,0.006958739832043648
Li3ClO,-1.6020599913279625,-4.569025993347168,0.009144550189375877
Li3OBr,-5.958607314841775,-4.394924640655518,0.009576588869094849
Li5La3Ta2O12,-4.468521082957745,-7.184912204742432,0.047638773918151855
